combination,feedback_text
ㅟ_ㅜ,"'ㅜ'는 '우' 소리만 내세요! 'ㅟ'처럼 '우'와 '이'를 이어 발음하지 마세요!"
ㅟ_ㅡ,"'ㅟ'는 '우'와 '이'를 이어서 발음해요! 'ㅡ'를 발음할 때는 입을 조금만 벌리고 혀를 편안하게 해보세요!"
ㅟ_ㅑ,"'ㅑ'는 '이'와 '아'를 빠르게 이어서 발음해 보세요!"
ㅟ_ㅕ,"'ㅕ'를 발음할 때는 '어'와 '이'를 부드럽게 이어서 말해보세요! 입을 조금 더 벌리고 혀를 낮춰 다시 시도해 보세요!"
ㅟ_ㅛ,"'ㅛ'를 발음할 때 '이'를 짧게 하고 '오'에 자연스럽게 연결해 보세요!"
ㅟ_ㅠ,"'ㅠ'는 '이우'로 발음해 주세요! '이' 소리를 짧고 약하게 하고 '우'와 자연스럽게 이어서 발음해 보세요!"
ㅟ_ㅒ,"'ㅒ'는 '이애'를 빠르게 이어서 발음해 보세요! 'ㅟ'와 달리 '이'를 짧게 발음해주세요!"
ㅟ_ㅖ,"'ㅖ'는 'ㅟ'처럼 '우'를 넣지 않고 '이'와 '에'를 빠르게 이어서 발음해 보세요!"
ㅟ_ㅘ,"'ㅘ'는 '우'와 '아'를 이어서 발음해 보세요! 'ㅟ'보다 '아' 소리를 더 강조해 주세요!"
ㅟ_ㅝ,"'ㅟ' 대신 'ㅝ'는 '우어'처럼 발음해 보세요! 입을 조금 더 벌리고 '어' 소리를 자연스럽게 연결하세요!"
ㅟ_ㅙ,"'ㅙ'는 '우에'처럼 발음해 보세요! '우'를 짧게 하고 '에'로 자연스럽게 이어주세요!"
ㅟ_ㅞ,"'ㅟ' 대신 'ㅞ'를 발음할 때는 '우에'처럼 부드럽게 연결해 보세요! 입을 조금 더 열어주세요!"
ㅟ_ㅚ,"'ㅚ'는 '우에'로 발음해 보세요! '우'와 '에'를 자연스럽게 연결해 주세요!"
ㅟ_ㅢ,"'ㅢ'는 입 모양을 '으'로 유지하고 혀를 빠르게 '이'로 움직여 발음해 보세요!"
ㅢ_ㅣ,"입을 옆으로 더 벌리고 혀를 높게 올려서 'ㅣ'를 다시 발음해 보세요!"
ㅢ_ㅔ,"'ㅢ' 대신 'ㅔ'를 발음하려면 입을 더 벌리고 혀를 낮춰 보세요!"
ㅢ_ㅐ,"'ㅢ'와 다르게 'ㅐ'를 발음할 때는 입을 새끼손가락 두 개만큼 벌리고, 혀를 아랫니 뒤에 두어 보세요! 다시 한번 시도해 보세요!"
ㅢ_ㅏ,"'ㅢ'보다 'ㅏ'를 발음할 때는 입을 더 크게 벌리고 혀를 더 낮게 움직여야 해요! 다시 한번 시도해 보세요!"
ㅢ_ㅓ,"'ㅢ'보다 'ㅓ'를 발음할 때는 입을 더 벌리고 입술과 혀를 편안하게 해 보세요!"
ㅢ_ㅗ,"'ㅢ'와 달리 'ㅗ'는 입을 더 벌리고 입술을 동그랗게 만들어보세요!"
ㅢ_ㅜ,"'ㅢ'과 다르게 'ㅜ'를 발음할 때는 입을 덜 벌리고 혀를 아래로 내려 보세요!"
ㅢ_ㅡ,"입을 조금 더 벌리고 혀를 그대로 유지하면서 'ㅡ'를 발음해 보세요!"
ㅢ_ㅑ,"'ㅑ'를 발음할 땐 '이아'를 부드럽게 이어서 말하고, 입을 좀 더 벌려 보세요!"
ㅢ_ㅕ,"'ㅕ'는 'ㅢ'와 달리 '이'와 '어'를 부드럽게 연결해서 발음해 보세요!"
ㅢ_ㅛ,"'ㅛ'은 '이'와 '오'를 자연스럽게 이어서 발음해 보세요! 입을 더 열고 '오' 소리를 부드럽게 말해 주세요!"
ㅢ_ㅠ,"'ㅠ'를 발음할 때 '이'와 '우'를 자연스럽게 빠르게 연결해 보세요!"
ㅢ_ㅒ,"'ㅒ'를 발음할 때는 '이'와 '애'를 빠르게 이어서 말해 보세요! 'ㅢ'와 달리 입을 더 벌리고 혀를 부드럽게 움직여 주세요!"
ㅢ_ㅖ,"'ㅖ'를 'ㅢ' 대신 발음하려면, '이'와 '에'를 부드럽게 이어서 말해 보세요!"
ㅢ_ㅘ,"'ㅘ'는 '우'와 '아'를 자연스럽게 이어서 발음해 주세요! 'ㅢ'와 달라요!"
ㅢ_ㅝ,"'ㅝ'는 '우어'를 이어서 발음해 주세요! 입을 둥글게 하고 '우' 소리를 먼저 내보세요!"
ㅢ_ㅙ,"'ㅢ'와 다르게 'ㅙ'는 '우에'를 자연스럽게 이어서 발음해 보세요! 입을 조금 더 벌려 시도해 보세요!"
ㅢ_ㅞ,"'ㅢ'는 '으'에서 '이'로 빠르게 이동하지만, 'ㅞ'는 '우'와 '에'를 자연스럽게 이어서 발음해 보세요! 입을 조금 더 열고 부드럽게 연결해 주세요!"
ㅢ_ㅚ,"'ㅚ'를 발음할 때 '우'와 '에'를 부드럽게 이어서 말해 보세요! 입을 조금 더 벌려주세요!"
ㅢ_ㅟ,"'ㅟ'는 '우'와 '이'를 부드럽게 이어서 발음해 보세요! 'ㅢ'는 '으'에서 빠르게 '이'로 바꿔요! 한번 연습해 보세요!"
